Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,return_1,return_3,MA_5,STD_5,HL_range,upper_shadow,lower_shadow,SMA_12,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_mid,BB_std,BB_upper,BB_lower,ATR_14,VWAP_5,OBV,hour,minute,weekday
2025-04-07 00:40:00+00:00,78117.5546875,78117.5546875,77997.0546875,77997.0546875,176353280,0.0,0.0,-0.0007781693813018187,-0.0028462503445824128,78009.671875,166.16824042150478,120.5,0.0,0.0,78027.96809895833,77977.4969053363,78084.72318448426,-107.22627914795885,-167.6139256863371,58.14681448872569,77843.865234375,372.79497987063746,78589.45519411628,77098.27527463372,314.16127232142856,78023.00505794953,-1370349568,0,40,0
2025-04-07 00:45:00+00:00,77865.9140625,77865.9140625,77697.2734375,77784.1640625,181923840,0.0,0.0,-0.0027294700531059757,-0.0029814304737784125,78015.09375,155.99589973350496,168.640625,0.0,86.890625,77968.26171875,77947.75339105379,78062.45954581877,-114.70615476497915,-157.0323715020655,47.85069641365944,77854.365625,367.72143153003253,78589.80848806007,77118.92276193995,295.21763392857144,77999.51156536631,-1552273408,0,45,0
2025-04-07 00:50:00+00:00,77722.7421875,77802.890625,77722.7421875,77802.890625,120283136,0.0,0.0,0.00024075032142722996,-0.0032656090769279666,77931.734375,128.22491923707042,80.1484375,0.0,0.0,77935.59114583333,77925.4668116609,78043.2322183507,-117.76540668981033,-149.1789785396145,43.5229852955045,77870.071875,357.86020225246546,78585.79227950492,77154.35147049506,280.4536830357143,77974.95721244227,-1431990272,0,50,0
2025-04-07 00:55:00+00:00,77923.453125,78291.71875,77923.453125,78291.71875,0,0.0,0.0,0.006282904414902646,0.0037778870456146585,77986.725,207.96941615988618,368.265625,0.0,0.0,77952.52083333333,77981.81326371306,78061.6386281025,-79.82536438944226,-135.30825570958004,46.96373099351464,77920.448046875,341.5902538994484,78603.6285546739,77237.2675390761,293.30580357142856,77941.20931638988,-1431990272,0,55,0
2025-04-07 01:00:00+00:00,78261.421875,78591.4453125,78261.421875,78396.1640625,0,0.0,0.0,0.0013340531306191838,0.007867925398134412,78054.3984375,279.5960371683885,330.0234375,195.28125,0.0,77962.7421875,78045.55954044951,78086.41828990972,-40.858749460210674,-116.41835445970617,53.1061346068039,77979.348828125,314.616648535621,78608.58212519625,77350.11553105376,293.93136160714283,77867.32276438769,-1431990272,1,0,0
2025-04-07 01:05:00+00:00,78470.0078125,78514.3828125,78384.515625,78514.3828125,3287740416,0.0,0.0,0.0015079660008077145,0.00914480402700324,78157.8640625,341.85794483891397,129.8671875,0.0,85.4921875,78013.16731770833,78117.68619768805,78118.11936565714,-0.4331679690949386,-93.22131716158393,56.549019419365536,78032.525,310.44070816610116,78653.4064163322,77411.64358366778,290.1216517857143,78453.53938312865,1855750144,1,5,0
2025-04-07 01:10:00+00:00,78512.4296875,78678.4609375,78512.4296875,78678.4609375,397193216,0.0,0.0,0.002089784306040343,0.00493975855524309,78336.7234375,331.2413975980202,166.03125,0.0,0.0,78115.50846354167,78203.9592345822,78159.62614875662,44.333085825579474,-65.71043656415125,56.268320998403716,78097.969140625,301.1531519698631,78700.27544456473,77495.66283668528,278.8978794642857,78509.01917761337,2252943360,1,10,0
2025-04-07 01:15:00+00:00,78757.3046875,78924.7109375,78707.7734375,78924.7109375,135241728,0.0,0.0,0.0031298273640052443,0.006741999194994186,78561.0875,248.96742742667854,216.9375,0.0,49.53125,78203.404296875,78314.84411195417,78216.29909607094,98.54501588322455,-32.85934607467609,66.31380237424031,78147.476171875,350.2596853682114,78847.99554261142,77446.95680113857,268.28515625,78545.96885016713,2388185088,1,15,0
2025-04-07 01:20:00+00:00,79013.546875,79240.90625,79013.546875,79227.7265625,124375040,0.0,0.0,0.003839299775705962,0.009085516875341648,78748.2890625,333.378580160733,227.359375,13.1796875,0.0,78325.96028645833,78455.2875658843,78291.21964913976,164.06791674453416,6.526106489165958,80.06072874493927,78197.791796875,425.61385693481463,79049.01951074462,77346.56408300537,258.09095982142856,78567.46525258139,2512560128,1,20,0
2025-04-07 01:25:00+00:00,79247.484375,79247.484375,78994.7890625,78994.7890625,427606016,0.0,0.0,-0.002940100771618659,0.004020517448241501,78868.0140625,278.2377432565288,252.6953125,0.0,0.0,78390.55208333333,78538.28779613286,78343.33590198125,194.9518941516144,44.21126402165565,70.30650584465405,78222.49921875,457.28455058592044,79137.06831992185,77307.93011757816,242.91462053571428,78609.25841241266,2084954112,1,25,0
